Order_ID,Customer_ID,Customer_Name,Age,Gender,City,Product_Name,Category,Quantity,Unit_Price,Discount,Order_Date,Payment_Method,Order_Status,Customer_Rating,Date_of_Birth,Total_Amount,Order_Month
ORD001,CUST010,Customer_1,43.0,Male,Jaipur,Saree,Traditional Wear,4,4648.68,0.03,2024-02-07,Net Banking,Returned,3.0,11-01-1981,18594.72,February
ORD002,CUST037,Customer_2,27.0,Female,Jaipur,Handbag,Accessories,3,2192.48,0.29,2024-03-13,Cash,Delivered,5.0,07-01-1997,6577.4400000000005,March
ORD003,CUST016,Customer_3,18.0,Female,Chennai,Jewellery,Accessories,1,664.91,0.24,2024-08-25,UPI,Cancelled,2.0,05-01-2006,664.91,August
ORD004,CUST001,Customer_4,36.0,Male,Pune,Saree,Traditional Wear,2,4501.54,0.05,2024-01-31,Cash,Delivered,1.0,10-01-1988,9003.08,January
ORD005,CUST050,Customer_5,41.0,Male,Kolkata,T-Shirt,Western Wear,3,3607.75,0.27,2024-10-22,UPI,Returned,1.0,11-01-1983,10823.25,October
ORD006,CUST029,Customer_6,21.0,Male,Bangalore,Jewellery,Accessories,1,2230.43,0.06,2024-03-10,Credit Card,Pending,5.0,06-01-2003,2230.43,March
ORD007,CUST026,Customer_7,47.0,Female,Kolkata,Jewellery,Accessories,1,1617.78,0.39,2024-06-16,UPI,Delivered,4.0,12-01-1977,1617.78,June
ORD008,CUST030,Customer_8,34.0,Male,Chennai,Lehenga,Traditional Wear,1,1057.22,0.31,2024-04-06,Cash,Pending,1.0,09-01-1990,1057.22,April
ORD009,CUST049,Customer_9,38.0,Male,Delhi,Jeans,Western Wear,3,4656.78,0.36,2024-07-04,Debit Card,Returned,5.0,10-01-1986,13970.34,July
ORD010,CUST030,Customer_10,36.0,Male,Hyderabad,Saree,Traditional Wear,2,1534.64,0.31,2024-10-07,Debit Card,Delivered,5.0,10-01-1988,3069.28,October
ORD011,CUST050,Customer_11,32.0,Male,Pune,Jewellery,Accessories,2,2171.215,0.2,2024-09-20,Net Banking,Delivered,3.0,09-01-1992,4342.43,September
ORD012,CUST009,Customer_12,33.0,Female,Pune,Shoes,Footwear,1,3127.39,0.05,2024-12-05,UPI,Pending,2.0,09-01-1991,3127.39,December
ORD013,CUST010,Customer_13,35.0,Male,Chennai,Kurti,Traditional Wear,3,1931.79,0.09,2024-10-24,Debit Card,Pending,3.0,09-01-1989,5795.37,October
ORD014,CUST001,Customer_14,43.0,Female,Kolkata,T-Shirt,Western Wear,3,2337.18,0.25,2024-01-20,Net Banking,Delivered,1.0,11-01-1981,7011.539999999999,January
ORD015,CUST043,Customer_15,35.0,Male,Pune,Shoes,Footwear,2,412.45,0.31,2024-04-29,Net Banking,Pending,1.0,09-01-1989,824.9,April
ORD016,CUST041,Customer_16,50.0,Female,Delhi,Saree,Traditional Wear,1,1387.98,0.21,2024-01-16,Cash,Cancelled,1.0,13-01-1974,1387.98,January
ORD017,CUST037,Customer_17,35.0,Female,Bangalore,Handbag,Accessories,1,2432.64,0.15,2024-08-02,Net Banking,Returned,4.0,09-01-1989,2432.64,August
ORD018,CUST017,Customer_18,35.5,Male,Mumbai,Jeans,Western Wear,4,4438.0,0.27,2024-04-26,Credit Card,Delivered,3.0,09-01-1990,17752.0,April
ORD019,CUST037,Customer_19,44.0,Female,Bangalore,Shoes,Footwear,1,1068.42,0.16,2024-06-10,Net Banking,Delivered,4.0,12-01-1980,1068.42,June
ORD020,CUST048,Customer_20,30.0,Female,Delhi,Handbag,Accessories,3,1909.64,0.14,2024-09-11,Debit Card,Delivered,3.0,08-01-1994,5728.92,September
ORD021,CUST012,Customer_21,48.0,Male,Chennai,Handbag,Accessories,3,99999.0,0.28,2024-12-23,UPI,Returned,2.0,13-01-1976,299997.0,December
ORD022,CUST025,Customer_22,35.0,Female,Hyderabad,Lehenga,Traditional Wear,1,3685.27,0.22,2024-03-07,Credit Card,Delivered,2.0,09-01-1989,3685.27,March
ORD023,CUST044,Customer_23,35.0,Female,Mumbai,Lehenga,Traditional Wear,2,1486.96,0.4,2024-10-20,Cash,Returned,2.0,09-01-1989,2973.92,October
ORD024,CUST034,Customer_24,34.0,Female,Chennai,Jewellery,Accessories,1,1856.94,0.15,2024-06-01,Credit Card,Returned,2.0,09-01-1990,1856.94,June
ORD025,CUST009,Customer_25,18.0,Male,Kolkata,Jeans,Western Wear,1,1897.86,0.28,2024-03-24,UPI,Pending,1.0,05-01-2006,1897.86,March
ORD026,CUST037,Customer_26,49.0,Male,Mumbai,Lehenga,Traditional Wear,4,1462.95,0.22,2024-01-20,Net Banking,Cancelled,2.0,13-01-1975,5851.8,January
ORD027,CUST015,Customer_27,27.0,Female,Jaipur,Shoes,Footwear,4,2805.27,0.18,2024-03-04,Cash,Returned,3.0,07-01-1997,11221.08,March
ORD028,CUST050,Customer_28,18.0,Male,Hyderabad,Jeans,Western Wear,3,1429.51,0.12,2024-12-01,UPI,Delivered,5.0,05-01-2006,4288.53,December
ORD029,CUST014,Customer_29,40.0,Male,Kolkata,Jewellery,Accessories,2,1668.02,0.24,2024-07-16,Net Banking,Pending,1.0,11-01-1984,3336.04,July
ORD030,CUST006,Customer_30,50.0,Male,Mumbai,T-Shirt,Western Wear,4,673.62,0.26,2024-12-17,Cash,Delivered,5.0,13-01-1974,2694.48,December
ORD031,CUST014,Customer_31,20.0,Male,Pune,Jewellery,Accessories,2,4142.57,0.35,2024-04-27,Net Banking,Cancelled,5.0,06-01-2004,8285.14,April
ORD032,CUST026,Customer_32,21.0,Male,Mumbai,Handbag,Accessories,4,2170.0,0.24,2024-05-03,Credit Card,Pending,3.0,06-01-2003,8680.0,May
ORD033,CUST014,Customer_33,49.0,Male,Pune,Saree,Traditional Wear,2,2163.16,0.06,2024-11-09,Debit Card,Cancelled,2.0,13-01-1975,4326.32,November
ORD034,CUST029,Customer_34,35.5,Male,Bangalore,Saree,Traditional Wear,4,2787.34,0.33,2024-02-05,UPI,Cancelled,3.0,14-01-1971,11149.36,February
ORD035,CUST023,Customer_35,45.0,Male,Hyderabad,T-Shirt,Western Wear,3,3119.21,0.06,2024-04-04,UPI,Returned,3.0,12-01-1979,9357.630000000001,April
ORD036,CUST031,Customer_36,36.0,Female,Hyderabad,Jeans,Western Wear,3,2929.64,0.26,2024-12-21,Credit Card,Returned,4.0,10-01-1988,8788.92,December
ORD037,CUST031,Customer_37,31.0,Female,Pune,T-Shirt,Western Wear,4,580.96,0.07,2024-09-03,Net Banking,Delivered,3.0,08-01-1993,2323.84,September
ORD038,CUST026,Customer_38,47.0,Male,Kolkata,Lehenga,Traditional Wear,2,4937.98,0.19,2024-11-18,Net Banking,Cancelled,4.0,12-01-1977,9875.96,November
ORD039,CUST013,Customer_39,29.0,Female,Pune,Shoes,Footwear,2,1956.09,0.29,2024-09-08,Net Banking,Returned,3.0,08-01-1995,3912.18,September
